epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.444,1.1539,1.40738,1.11644,0.84399,0.87589,0.9237,0.67031,0.9124,0.75338,0.99683,0.000663781,0.000663781,0.000663781
2,95.614,1.19616,0.88562,1.14488,0.39986,0.74085,0.38357,0.26634,1.00934,1.36487,1.081,0.00131728,0.00131728,0.00131728
3,145.848,1.21606,0.86207,1.17546,0.91579,0.92381,0.97165,0.71187,0.90462,0.98957,1.01037,0.00195757,0.00195757,0.00195757
4,187.636,1.17392,0.84142,1.15312,0.95332,0.9619,0.98687,0.75052,0.88434,0.60938,0.99091,0.0019406,0.0019406,0.0019406
5,249.216,1.13032,0.75497,1.13532,0.9482,0.93571,0.97237,0.74935,0.82444,0.62826,0.98871,0.0019208,0.0019208,0.0019208
6,299.997,1.10567,0.72896,1.10609,0.967,0.94286,0.9754,0.76635,0.82604,0.58574,0.97254,0.001901,0.001901,0.001901
7,346.966,1.0977,0.72968,1.10169,0.97169,0.93571,0.97892,0.78915,0.77492,0.56217,0.97267,0.0018812,0.0018812,0.0018812
8,388.782,1.08839,0.71358,1.11656,0.93645,0.87619,0.94474,0.72935,0.88255,0.6951,1.01313,0.0018614,0.0018614,0.0018614
9,420.954,1.05899,0.68749,1.09717,0.94628,0.96464,0.98401,0.78499,0.76922,0.52647,0.95344,0.0018416,0.0018416,0.0018416
10,452.187,1.08854,0.69383,1.09556,0.98063,0.9644,0.98836,0.80757,0.73903,0.49705,0.9462,0.0018218,0.0018218,0.0018218
11,482.807,1.04383,0.65127,1.06995,0.98779,0.96327,0.98276,0.78805,0.79588,0.51674,0.95686,0.001802,0.001802,0.001802
12,513.299,1.03254,0.65086,1.08191,0.96159,0.97381,0.98433,0.81029,0.73597,0.47426,0.94107,0.0017822,0.0017822,0.0017822
13,545.034,1.00828,0.61732,1.07453,0.98078,0.97209,0.99282,0.81843,0.68745,0.44983,0.92059,0.0017624,0.0017624,0.0017624
14,575.801,0.97893,0.60393,1.05569,0.9818,0.97143,0.98452,0.82202,0.67697,0.46137,0.91165,0.0017426,0.0017426,0.0017426
15,606.521,0.98651,0.59049,1.05236,0.96907,0.96974,0.98482,0.79746,0.74406,0.48571,0.93089,0.0017228,0.0017228,0.0017228
16,637.478,0.98783,0.59748,1.05861,0.97825,0.94286,0.97989,0.79192,0.72386,0.50393,0.94054,0.001703,0.001703,0.001703
17,667.247,0.97163,0.58919,1.04978,0.99092,0.96429,0.98042,0.81767,0.67419,0.46578,0.91759,0.0016832,0.0016832,0.0016832
18,700.369,0.94521,0.57056,1.04731,0.99016,0.95882,0.98355,0.81806,0.67649,0.43291,0.91882,0.0016634,0.0016634,0.0016634
